1,Teluk Betung Barat
2,Teluk Betung Timur
3,Teluk Betung Selatan
4,Bumi Waras
5,Panjang
6,Tanjung Karang Timur
7,Kedamaian
8,Teluk Betung Utara
9,Tanjung Karang Pusat
10,Enggal
11,Tanjung Karang Barat
12,Kemiling
13,Langkapura
14,Kedaton
15,Rajabasa
16,Tanjung Senang
17,Labuhan Ratu
18,Sukarame
19,Sukabumi
20,Way Halim
